"movieId","title","genres"
53,Lamerica (1994),Приключения|Драма
54,"Big Green, The (1995)",Детский|Комедия
55,Georgia (1995),Драма
56,Kids of the Round Table (1995),Приключения|Детский|Фэнтези
57,Home for the Holidays (1995),Драма
58,"Postman, The (Postino, Il) (1994)",Комедия|Драма|Романтика
59,"Confessional, The (Confessionnal, Le) (1995)",Драма|Мистика
60,"Indian in the Cupboard, The (1995)",Приключения|Детский|Фэнтези
61,Eye for an Eye (1996),Драма|Триллер
62,Mr. Holland's Opus (1995),Драма
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Комедия|Криминал
64,Two if by Sea (1996),Комедия|Романтика
65,Bio-Dome (1996),Комедия
66,Lawnmower Man 2: Beyond Cyberspace (1996),Боевик|Научная фантастика|Триллер
67,Two Bits (1995),Драма
68,French Twist (Gazon maudit) (1995),Комедия|Романтика
69,Friday (1995),Комедия
70,From Dusk Till Dawn (1996),Боевик|Комедия|Ужасы|Триллер
71,Fair Game (1995),Боевик
72,Kicking and Screaming (1995),Комедия|Драма
73,"Misérables, Les (1995)",Драма|Военный
74,Bed of Roses (1996),Драма|Романтика
75,Big Bully (1996),Комедия|Драма
76,Screamers (1995),Боевик|Научная фантастика|Триллер
77,Nico Icon (1995),Документальный
78,"Crossing Guard, The (1995)",Боевик|Криминал|Драма|Триллер
79,"Juror, The (1996)",Драма|Триллер
80,"White Balloon, The (Badkonake sefid) (1995)",Детский|Драма
81,Things to Do in Denver When You're Dead (1995),Криминал|Драма|Романтика
82,Antonia's Line (Antonia) (1995),Комедия|Драма
83,Once Upon a Time... When We Were Colored (1995),Драма|Романтика
84,Last Summer in the Hamptons (1995),Комедия|Драма
85,Angels and Insects (1995),Драма|Романтика
86,White Squall (1996),Боевик|Приключения|Драма
87,Dunston Checks In (1996),Детский|Комедия
88,Black Sheep (1996),Комедия
89,Nick of Time (1995),Боевик|Триллер
90,"Journey of August King, The (1995)",Драма
92,Mary Reilly (1996),Драма|Ужасы|Триллер
93,Vampire in Brooklyn (1995),Комедия|Ужасы|Романтика
94,Beautiful Girls (1996),Комедия|Драма|Романтика
95,Broken Arrow (1996),Боевик|Приключения|Триллер
96,In the Bleak Midwinter (1995),Комедия|Драма
97,"Hate (Haine, La) (1995)",Криминал|Драма
98,Shopping (1994),Боевик|Триллер
99,Heidi Fleiss: Hollywood Madam (1995),Документальный
100,City Hall (1996),Драма|Триллер
101,Bottle Rocket (1996),Приключения|Комедия|Криминал|Романтика
102,Mr. Wrong (1996),Комедия
103,Unforgettable (1996),Мистика|Научная фантастика|Триллер
104,Happy Gilmore (1996),Комедия
105,"Bridges of Madison County, The (1995)",Драма|Романтика
106,Nobody Loves Me (Keiner liebt mich) (1994),Комедия|Драма
107,Muppet Treasure Island (1996),Приключения|Детский|Комедия|Мюзикл
108,Catwalk (1996),Документальный
109,Headless Body in Topless Bar (1995),Комедия|Драма|Триллер
110,Braveheart (1995),Боевик|Драма|Военный
111,Taxi Driver (1976),Криминал|Драма|Триллер
112,Rumble in the Bronx (Hont faan kui) (1995),Боевик|Приключения|Комедия|Криминал
113,Before and After (1996),Драма|Мистика
114,Margaret's Museum (1995),Драма
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Комедия
116,Anne Frank Remembered (1995),Документальный
117,"Young Poisoner's Handbook, The (1995)",Криминал|Драма
118,If Lucy Fell (1996),Комедия|Романтика
119,"Steal Big, Steal Little (1995)",Комедия
120,Race the Sun (1996),Приключения|Комедия|Драма
121,"Boys of St. Vincent, The (1992)",Драма
122,Boomerang (1992),Комедия|Романтика
123,Chungking Express (Chung Hing sam lam) (1994),Драма|Мистика|Романтика
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Драма
125,Flirting With Disaster (1996),Комедия
126,"NeverEnding Story III, The (1994)",Приключения|Детский|Фэнтези
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",Драма
128,Jupiter's Wife (1994),Документальный
129,Pie in the Sky (1996),Комедия|Романтика
130,Angela (1995),Драма
131,Frankie Starlight (1995),Драма|Романтика
132,Jade (1995),Триллер
133,Nueba Yol (1995),Комедия|Драма
134,Sonic Outlaws (1995),Документальный
135,Down Periscope (1996),Комедия
136,From the Journals of Jean Seberg (1995),Документальный
137,Man of the Year (1995),Документальный
138,"Neon Bible, The (1995)",Драма
139,Target (1995),Боевик|Драма
140,Up Close and Personal (1996),Драма|Романтика
141,"Birdcage, The (1996)",Комедия
142,Shadows (Cienie) (1988),Драма
143,Gospa (1995),Драма
144,"Brothers McMullen, The (1995)",Комедия
145,Bad Boys (1995),Боевик|Комедия|Криминал|Драма|Триллер
146,"Amazing Panda Adventure, The (1995)",Приключения|Детский
147,"Basketball Diaries, The (1995)",Драма
148,"Awfully Big Adventure, An (1995)",Драма
149,Amateur (1994),Криминал|Драма|Триллер
150,Apollo 13 (1995),Приключения|Драма|IMAX
151,Rob Roy (1995),Боевик|Драма|Романтика|Военный
152,"Addiction, The (1995)",Драма|Ужасы
153,Batman Forever (1995),Боевик|Приключения|Комедия|Криминал
154,Beauty of the Day (Belle de jour) (1967),Драма
155,Beyond Rangoon (1995),Приключения|Драма|Военный
156,Blue in the Face (1995),Комедия|Драма
157,Canadian Bacon (1995),Комедия|Военный
158,Casper (1995),Приключения|Детский
159,Clockers (1995),Криминал|Драма|Мистика
160,Congo (1995),Боевик|Приключения|Мистика|Научная фантастика
161,Crimson Tide (1995),Драма|Триллер|Военный
162,Crumb (1994),Документальный
163,Desperado (1995),Боевик|Романтика|Вестерн
164,Devil in a Blue Dress (1995),Криминал|Фильм-нуар|Мистика|Триллер
165,Die Hard: With a Vengeance (1995),Боевик|Криминал|Триллер
166,"Doom Generation, The (1995)",Комедия|Криминал|Драма
167,Feast of July (1995),Драма
168,First Knight (1995),Боевик|Драма|Романтика
169,Free Willy 2: The Adventure Home (1995),Приключения|Детский|Драма
170,Hackers (1995),Боевик|Приключения|Криминал|Триллер
171,Jeffrey (1995),Комедия|Драма
172,Johnny Mnemonic (1995),Боевик|Научная фантастика|Триллер
173,Judge Dredd (1995),Боевик|Криминал|Научная фантастика
174,Jury Duty (1995),Комедия
175,Kids (1995),Драма
176,Living in Oblivion (1995),Комедия
177,Lord of Illusions (1995),Ужасы
178,Love & Human Remains (1993),Комедия|Драма
179,Mad Love (1995),Драма|Романтика
180,Mallrats (1995),Комедия|Романтика
181,Mighty Morphin Power Rangers: The Movie (1995),Боевик|Детский
182,Moonlight and Valentino (1995),Драма|Романтика
183,Mute Witness (1994),Комедия|Ужасы|Триллер
184,Nadja (1994),Драма
185,"Net, The (1995)",Боевик|Криминал|Триллер
186,Nine Months (1995),Комедия|Романтика
187,Party Girl (1995),Комедия
188,"Prophecy, The (1995)",Фэнтези|Ужасы|Мистика
189,Reckless (1995),Комедия|Фэнтези
190,Safe (1995),Триллер
191,"Scarlet Letter, The (1995)",Драма|Романтика
192,"Show, The (1995)",Документальный
193,Showgirls (1995),Драма
194,Smoke (1995),Комедия|Драма
195,Something to Talk About (1995),Комедия|Драма|Романтика
196,Species (1995),Ужасы|Научная фантастика
197,"Stars Fell on Henrietta, The (1995)",Драма
198,Strange Days (1995),Боевик|Криминал|Драма|Мистика|Научная фантастика|Триллер
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Драма|Мюзикл|Романтика
200,"Tie That Binds, The (1995)",Триллер
201,Three Wishes (1995),Драма|Фэнтези
202,Total Eclipse (1995),Драма|Романтика
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Комедия
204,Under Siege 2: Dark Territory (1995),Боевик
205,Unstrung Heroes (1995),Комедия|Драма
206,Unzipped (1995),Документальный
207,"Walk in the Clouds, A (1995)",Драма|Романтика
208,Waterworld (1995),Боевик|Приключения|Научная фантастика
209,White Man's Burden (1995),Драма
210,Wild Bill (1995),Вестерн
211,"Browning Version, The (1994)",Драма
212,Bushwhacked (1995),Приключения|Комедия|Криминал|Мистика
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Драма
214,Before the Rain (Pred dozhdot) (1994),Драма|Военный
215,Before Sunrise (1995),Драма|Романтика
216,Billy Madison (1995),Комедия
217,"Babysitter, The (1995)",Драма|Триллер
218,Boys on the Side (1995),Комедия|Драма
219,"Cure, The (1995)",Драма
220,Castle Freak (1995),Ужасы
222,Circle of Friends (1995),Драма|Романтика
223,Clerks (1994),Комедия
224,Don Juan DeMarco (1995),Комедия|Драма|Романтика
225,Disclosure (1994),Драма|Триллер
226,Dream Man (1995),Триллер
227,Drop Zone (1994),Боевик|Триллер
228,Destiny Turns on the Radio (1995),Комедия
229,Death and the Maiden (1994),Драма|Триллер
230,Dolores Claiborne (1995),Драма|Триллер
231,Dumb & Dumber (Dumb and Dumber) (1994),Приключения|Комедия
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Комедия|Драма|Романтика
233,Exotica (1994),Драма
234,Exit to Eden (1994),Комедия
235,Ed Wood (1994),Комедия|Драма
236,French Kiss (1995),Боевик|Комедия|Романтика
237,Forget Paris (1995),Комедия|Романтика
238,Far From Home: The Adventures of Yellow Dog (1995),Приключения|Детский
239,"Goofy Movie, A (1995)",Анимация|Детский|Комедия|Романтика
240,Hideaway (1995),Триллер
241,Fluke (1995),Детский|Драма
242,Farinelli: il castrato (1994),Драма|Мюзикл
243,Gordy (1995),Детский|Комедия|Фэнтези
244,Gumby: The Movie (1995),Анимация|Детский
245,"Glass Shield, The (1994)",Криминал|Драма
246,Hoop Dreams (1994),Документальный
247,Heavenly Creatures (1994),Криминал|Драма
248,Houseguest (1994),Комедия
249,Immortal Beloved (1994),Драма|Романтика
250,Heavyweights (Heavy Weights) (1995),Детский|Комедия
251,"Hunted, The (1995)",Боевик
252,I.Q. (1994),Комедия|Романтика
253,Interview with the Vampire: The Vampire Chronicles (1994),Драма|Ужасы
254,Jefferson in Paris (1995),Драма
255,"Jerky Boys, The (1995)",Комедия
256,Junior (1994),Комедия|Научная фантастика
257,Just Cause (1995),Мистика|Триллер
258,"Kid in King Arthur's Court, A (1995)",Приключения|Детский|Комедия|Фэнтези|Романтика
259,Kiss of Death (1995),Криминал|Драма|Триллер
260,Star Wars: Episode IV - A New Hope (1977),Боевик|Приключения|Научная фантастика
261,Little Women (1994),Драма
262,"Little Princess, A (1995)",Детский|Драма
263,Ladybird Ladybird (1994),Драма
264,"Enfer, L' (1994)",Драма
265,Like Water for Chocolate (Como agua para chocolate) (1992),Драма|Фэнтези|Романтика
266,Legends of the Fall (1994),Драма|Романтика|Военный|Вестерн
267,Major Payne (1995),Комедия
268,Little Odessa (1994),Криминал|Драма
269,My Crazy Life (Mi vida loca) (1993),Драма
270,Love Affair (1994),Драма|Романтика
271,Losing Isaiah (1995),Драма
272,"Madness of King George, The (1994)",Комедия|Драма
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Драма|Ужасы|Научная фантастика
274,Man of the House (1995),Комедия
275,Mixed Nuts (1994),Комедия
276,Milk Money (1994),Комедия|Романтика
277,Miracle on 34th Street (1994),Драма
278,Miami Rhapsody (1995),Комедия
279,My Family (1995),Драма
280,Murder in the First (1995),Драма|Триллер
281,Nobody's Fool (1994),Комедия|Драма|Романтика
282,Nell (1994),Драма
283,New Jersey Drive (1995),Криминал|Драма
284,New York Cop (Nyû Yôku no koppu) (1993),Боевик|Криминал
285,Beyond Bedlam (1993),Драма|Ужасы
286,Nemesis 2: Nebula (1995),Боевик|Научная фантастика|Триллер
287,Nina Takes a Lover (1994),Комедия|Романтика
288,Natural Born Killers (1994),Боевик|Криминал|Триллер
289,Only You (1994),Комедия|Романтика
290,Once Were Warriors (1994),Криминал|Драма
291,Poison Ivy II (1996),Драма|Триллер
292,Outbreak (1995),Боевик|Драма|Научная фантастика|Триллер
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Боевик|Криминал|Драма|Триллер
294,"Perez Family, The (1995)",Комедия|Романтика
295,"Pyromaniac's Love Story, A (1995)",Комедия|Романтика
296,Pulp Fiction (1994),Комедия|Криминал|Драма|Триллер
297,Panther (1995),Драма
298,Pushing Hands (Tui shou) (1992),Драма
299,Priest (1994),Драма
300,Quiz Show (1994),Драма
301,Picture Bride (Bijo photo) (1994),Драма|Романтика
302,"Queen Margot (Reine Margot, La) (1994)",Драма|Романтика
303,"Quick and the Dead, The (1995)",Боевик|Триллер|Вестерн
304,Roommates (1995),Комедия|Драма
305,Ready to Wear (Pret-A-Porter) (1994),Комедия
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Драма
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Драма
308,Three Colors: White (Trzy kolory: Bialy) (1994),Комедия|Драма
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Драма
310,Rent-a-Kid (1995),Комедия
311,Relative Fear (1994),Ужасы|Триллер
312,Stuart Saves His Family (1995),Комедия
313,"Swan Princess, The (1994)",Анимация|Детский
314,"Secret of Roan Inish, The (1994)",Детский|Драма|Фэнтези|Мистика
315,"Specialist, The (1994)",Боевик|Драма|Триллер
316,Stargate (1994),Боевик|Приключения|Научная фантастика
317,"Santa Clause, The (1994)",Комедия|Драма|Фэнтези
318,"Shawshank Redemption, The (1994)",Криминал|Драма
319,Shallow Grave (1994),Комедия|Драма|Триллер
320,Suture (1993),Фильм-нуар|Триллер
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Драма
322,Swimming with Sharks (1995),Комедия|Драма
324,"Sum of Us, The (1994)",Комедия|Драма
325,National Lampoon's Senior Trip (1995),Комедия
326,To Live (Huozhe) (1994),Драма
327,Tank Girl (1995),Боевик|Комедия|Научная фантастика
328,Tales from the Crypt Presents: Demon Knight (1995),Ужасы|Триллер
329,Star Trek: Generations (1994),Приключения|Драма|Научная фантастика
330,Tales from the Hood (1995),Боевик|Криминал|Ужасы
331,Tom & Viv (1994),Драма
332,Village of the Damned (1995),Ужасы|Научная фантастика
333,Tommy Boy (1995),Комедия
334,Vanya on 42nd Street (1994),Драма
335,Underneath (1995),Мистика|Триллер
336,"Walking Dead, The (1995)",Драма|Военный
337,What's Eating Gilbert Grape (1993),Драма
338,Virtuosity (1995),Боевик|Научная фантастика|Триллер
339,While You Were Sleeping (1995),Комедия|Романтика
340,"War, The (1994)",Приключения|Драма|Военный
341,Double Happiness (1994),Драма
342,Muriel's Wedding (1994),Комедия
343,"Baby-Sitters Club, The (1995)",Детский
344,Ace Ventura: Pet Detective (1994),Комедия
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Комедия|Драма
346,Backbeat (1993),Драма|Мюзикл
347,Bitter Moon (1992),Драма|Фильм-нуар|Романтика
348,Bullets Over Broadway (1994),Комедия
349,Clear and Present Danger (1994),Боевик|Криминал|Драма|Триллер
350,"Client, The (1994)",Драма|Мистика|Триллер
351,"Corrina, Corrina (1994)",Комедия|Драма|Романтика
352,Crooklyn (1994),Комедия|Драма
353,"Crow, The (1994)",Боевик|Криминал|Фэнтези|Триллер
354,Cobb (1994),Драма
355,"Flintstones, The (1994)",Детский|Комедия|Фэнтези
356,Forrest Gump (1994),Комедия|Драма|Романтика|Военный
357,Four Weddings and a Funeral (1994),Комедия|Романтика
358,Higher Learning (1995),Драма
359,I Like It Like That (1994),Комедия|Драма|Романтика
360,I Love Trouble (1994),Боевик|Комедия
361,It Could Happen to You (1994),Комедия|Драма|Романтика
362,"Jungle Book, The (1994)",Приключения|Детский|Романтика
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Документальный
364,"Lion King, The (1994)",Приключения|Анимация|Детский|Драма|Мюзикл|IMAX
365,Little Buddha (1993),Драма
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Драма|Ужасы|Мистика|Триллер
367,"Mask, The (1994)",Боевик|Комедия|Криминал|Фэнтези
368,Maverick (1994),Приключения|Комедия|Вестерн
369,Mrs. Parker and the Vicious Circle (1994),Драма
370,Naked Gun 33 1/3: The Final Insult (1994),Боевик|Комедия
371,"Paper, The (1994)",Комедия|Драма
372,Reality Bites (1994),Комедия|Драма|Романтика
373,Red Rock West (1992),Триллер
374,Richie Rich (1994),Детский|Комедия
375,Safe Passage (1994),Драма
376,"River Wild, The (1994)",Боевик|Триллер
377,Speed (1994),Боевик|Романтика|Триллер
378,Speechless (1994),Комедия|Романтика
379,Timecop (1994),Боевик|Научная фантастика|Триллер
380,True Lies (1994),Боевик|Приключения|Комедия|Романтика|Триллер
381,When a Man Loves a Woman (1994),Драма|Романтика
382,Wolf (1994),Драма|Ужасы|Романтика|Триллер
383,Wyatt Earp (1994),Вестерн
384,Bad Company (1995),Боевик|Криминал|Драма
385,"Man of No Importance, A (1994)",Драма
386,S.F.W. (1994),Драма
387,"Low Down Dirty Shame, A (1994)",Боевик|Комедия
388,Boys Life (1995),Драма
389,"Colonel Chabert, Le (1994)",Драма|Романтика|Военный
390,Faster Pussycat! Kill! Kill! (1965),Боевик|Криминал|Драма
391,Jason's Lyric (1994),Криминал|Драма
392,"Secret Adventures of Tom Thumb, The (1993)",Приключения|Анимация
393,Street Fighter (1994),Боевик|Приключения|Фэнтези
394,Coldblooded (1995),Комедия
395,Desert Winds (1995),Драма|Фэнтези|Романтика
396,Fall Time (1995),Драма
397,"Fear, The (1995)",Ужасы
398,Frank and Ollie (1995),Документальный
399,Girl in the Cadillac (1995),Драма
400,Homage (1995),Драма
401,Mirage (1995),Боевик|Триллер
402,Open Season (1996),Комедия
403,Two Crimes (Dos crímenes) (1995),Комедия|Криминал|Драма
404,Brother Minister: The Assassination of Malcolm X (1994),Документальный
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Боевик|Фэнтези
406,Federal Hill (1994),Драма
407,In the Mouth of Madness (1995),Ужасы|Триллер
408,8 Seconds (1994),Драма
409,Above the Rim (1994),Криминал|Драма
410,Addams Family Values (1993),Детский|Комедия|Фэнтези
411,Martin Lawrence: You So Crazy (1994),Комедия|Документальный
412,"Age of Innocence, The (1993)",Драма
413,Airheads (1994),Комедия
414,"Air Up There, The (1994)",Комедия
415,Another Stakeout (1993),Комедия|Триллер
416,Bad Girls (1994),Вестерн
417,Barcelona (1994),Комедия|Романтика
418,Being Human (1993),Драма
419,"Beverly Hillbillies, The (1993)",Комедия
420,Beverly Hills Cop III (1994),Боевик|Комедия|Криминал|Триллер
421,Black Beauty (1994),Приключения|Детский|Драма
422,Blink (1994),Триллер
423,Blown Away (1994),Боевик|Триллер
424,Blue Chips (1994),Драма
425,Blue Sky (1994),Драма|Романтика
426,Body Snatchers (1993),Ужасы|Научная фантастика|Триллер
427,Boxing Helena (1993),Драма|Мистика|Романтика|Триллер
428,"Bronx Tale, A (1993)",Драма
429,Cabin Boy (1994),Комедия
430,Calendar Girl (1993),Комедия|Драма
431,Carlito's Way (1993),Криминал|Драма
432,City Slickers II: The Legend of Curly's Gold (1994),Приключения|Комедия|Вестерн
433,Clean Slate (1994),Комедия
434,Cliffhanger (1993),Боевик|Приключения|Триллер
435,Coneheads (1993),Комедия|Научная фантастика
436,Color of Night (1994),Драма|Триллер
437,Cops and Robbersons (1994),Комедия
438,"Cowboy Way, The (1994)",Боевик|Комедия|Драма
439,Dangerous Game (1993),Драма
440,Dave (1993),Комедия|Романтика
441,Dazed and Confused (1993),Комедия
442,Demolition Man (1993),Боевик|Приключения|Научная фантастика
443,"Endless Summer 2, The (1994)",Приключения|Документальный
444,Even Cowgirls Get the Blues (1993),Комедия|Романтика
445,Fatal Instinct (1993),Комедия
446,Farewell My Concubine (Ba wang bie ji) (1993),Драма|Романтика
447,"Favor, The (1994)",Комедия|Романтика
448,Fearless (1993),Драма
449,Fear of a Black Hat (1994),Комедия
450,With Honors (1994),Комедия|Драма
451,Flesh and Bone (1993),Драма|Мистика|Романтика
452,Widows' Peak (1994),Драма
453,For Love or Money (1993),Комедия|Романтика
454,"Firm, The (1993)",Драма|Триллер
455,Free Willy (1993),Приключения|Детский|Драма
456,Fresh (1994),Криминал|Драма|Триллер
457,"Fugitive, The (1993)",Триллер
458,Geronimo: An American Legend (1993),Драма|Вестерн
459,"Getaway, The (1994)",Боевик|Приключения|Криминал|Драма|Романтика|Триллер
460,Getting Even with Dad (1994),Комедия
461,Go Fish (1994),Драма|Романтика
462,"Good Man in Africa, A (1994)",Боевик|Приключения
463,Guilty as Sin (1993),Криминал|Драма|Триллер
464,Hard Target (1993),Боевик|Приключения|Криминал|Триллер
465,Heaven & Earth (1993),Боевик|Драма|Военный
466,Hot Shots! Part Deux (1993),Боевик|Комедия|Военный
467,Live Nude Girls (1995),Комедия
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Комедия|Романтика
469,"House of the Spirits, The (1993)",Драма|Романтика
470,House Party 3 (1994),Комедия
471,"Hudsucker Proxy, The (1994)",Комедия
472,I'll Do Anything (1994),Комедия|Драма
473,In the Army Now (1994),Комедия|Военный
474,In the Line of Fire (1993),Боевик|Триллер
475,In the Name of the Father (1993),Драма
476,"Inkwell, The (1994)",Комедия|Драма
477,What's Love Got to Do with It? (1993),Драма|Мюзикл
478,Jimmy Hollywood (1994),Комедия|Криминал|Драма
479,Judgment Night (1993),Боевик|Криминал|Триллер
480,Jurassic Park (1993),Боевик|Приключения|Научная фантастика|Триллер
481,Kalifornia (1993),Драма|Триллер
482,Killing Zoe (1994),Криминал|Драма|Триллер
483,King of the Hill (1993),Драма
484,Lassie (1994),Приключения|Детский
485,Last Action Hero (1993),Боевик|Приключения|Комедия|Фэнтези
486,Life with Mikey (1993),Комедия
487,Lightning Jack (1994),Комедия|Вестерн
488,M. Butterfly (1993),Драма|Романтика
489,Made in America (1993),Комедия
490,Malice (1993),Триллер
491,"Man Without a Face, The (1993)",Драма
492,Manhattan Murder Mystery (1993),Комедия|Мистика
493,Menace II Society (1993),Боевик|Криминал|Драма
494,Executive Decision (1996),Боевик|Приключения|Триллер
495,In the Realm of the Senses (Ai no corrida) (1976),Драма
496,What Happened Was... (1994),Комедия|Драма|Романтика|Триллер
497,Much Ado About Nothing (1993),Комедия|Романтика
498,Mr. Jones (1993),Драма|Романтика
499,Mr. Wonderful (1993),Комедия|Романтика
500,Mrs. Doubtfire (1993),Комедия|Драма
501,Naked (1993),Драма
502,"Next Karate Kid, The (1994)",Боевик|Детский|Романтика
503,"New Age, The (1994)",Драма
504,No Escape (1994),Боевик|Драма|Научная фантастика
505,North (1994),Комедия
506,Orlando (1992),Драма|Фэнтези|Романтика
507,"Perfect World, A (1993)",Криминал|Драма|Триллер
508,Philadelphia (1993),Драма
509,"Piano, The (1993)",Драма|Романтика
510,Poetic Justice (1993),Драма
511,"Program, The (1993)",Боевик|Драма
512,"Puppet Masters, The (1994)",Ужасы|Научная фантастика
513,Radioland Murders (1994),Комедия|Мистика|Романтика
514,"Ref, The (1994)",Комедия
515,"Remains of the Day, The (1993)",Драма|Романтика
516,Renaissance Man (1994),Комедия|Драма
517,Rising Sun (1993),Боевик|Драма|Мистика
518,"Road to Wellville, The (1994)",Комедия
519,RoboCop 3 (1993),Боевик|Криминал|Драма|Научная фантастика|Триллер
520,Robin Hood: Men in Tights (1993),Комедия
521,Romeo Is Bleeding (1993),Криминал|Триллер
522,Romper Stomper (1992),Боевик|Драма
523,Ruby in Paradise (1993),Драма
524,Rudy (1993),Драма
525,"Saint of Fort Washington, The (1993)",Драма
526,"Savage Nights (Nuits fauves, Les) (1992)",Драма
527,Schindler's List (1993),Драма|Военный
528,"Scout, The (1994)",Комедия|Драма
529,Searching for Bobby Fischer (1993),Драма
530,Second Best (1994),Драма
531,"Secret Garden, The (1993)",Детский|Драма
532,Serial Mom (1994),Комедия|Криминал|Ужасы
533,"Shadow, The (1994)",Боевик|Приключения|Фэнтези|Мистика
534,Shadowlands (1993),Драма|Романтика
535,Short Cuts (1993),Драма
536,"Simple Twist of Fate, A (1994)",Драма
537,Sirens (1994),Драма
538,Six Degrees of Separation (1993),Драма
539,Sleepless in Seattle (1993),Комедия|Драма|Романтика
540,Sliver (1993),Триллер
541,Blade Runner (1982),Боевик|Научная фантастика|Триллер
542,Son in Law (1993),Комедия|Драма|Романтика
543,So I Married an Axe Murderer (1993),Комедия|Романтика|Триллер
544,Striking Distance (1993),Боевик|Криминал
545,Harem (1985),Драма
546,Super Mario Bros. (1993),Боевик|Приключения|Детский|Комедия|Фэнтези|Научная фантастика
547,Surviving the Game (1994),Боевик|Приключения|Триллер
548,Terminal Velocity (1994),Боевик|Мистика|Триллер
549,Thirty-Two Short Films About Glenn Gould (1993),Драма|Мюзикл
550,Threesome (1994),Комедия|Романтика
551,"Nightmare Before Christmas, The (1993)",Анимация|Детский|Фэнтези|Мюзикл
552,"Three Musketeers, The (1993)",Боевик|Приключения|Комедия|Романтика
553,Tombstone (1993),Боевик|Драма|Вестерн
554,Trial by Jury (1994),Криминал|Драма|Триллер
555,True Romance (1993),Криминал|Триллер
556,"War Room, The (1993)",Документальный
558,"Pagemaster, The (1994)",Боевик|Приключения|Анимация|Детский|Фэнтези
